,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Order qty1,Unit,Code,Barcode,Supplier Name,Description,PC/CS,Price, TOTAL (PH) , PRICE(HK) ,Price/PH,Price/HK,Rate,Sell/Pc,COST,Total Cost,SELL,Gross Profit %,,TOTAL,, CBM , T_CBM , WGT , T_WGT ,,LS,NP,YL16,YL2A,MOS,MOS78,SK,ST,TKO,FC,LC,FL,MF,TY,SH,HH,CL,RHG,SHO,RG,,TSW,TP,TW,TKT,RL,HY,,MF28,SKM,WHS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30.00,CASE,CHE55,4800523223162,Yim kee,CHEEZ-IT SNACK CHEESE 25/95G,25,572.45,"  17,173.50 ",  79.29 ,22.90,3.24,7.06,1,3.24,"  2,432.51 ",6,0.85,,"  4,500.00 ",,  0.076 ,  2.28 ,  3.40 ,  102.00 ,,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,
2,28.00,CASE,CLO19,4800216122222,Yim kee,CLOVER CHIPS CHILI & CHEESE 35/85G,35,"1,050.70","  29,419.60 ",  145.53 ,30.02,4.25,7.06,1,4.25,"  4,167.08 ",8,0.88,,"  7,840.00 ",,  0.075 ,  2.10 ,  4.40 ,  123.20 ,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,
3,51.00,CASE,FUD01,4800092550911,Yim kee,FUDGEE BARR CHOCOLATE 10/10/40G,10,712.1,"  36,317.10 ",  98.63 ,71.21,10.09,7.06,1,10.09,"  5,144.07 ",17,0.69,,"  8,670.00 ",,  0.023 ,  1.17 ,  4.50 ,  229.50 ,,5.00,2.00,2.00,2.00,2.00,2.00,4.00,2.00,3.00,4.00,2.00,3.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,2.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,
4,30.00,CASE,FUD07,4800092553233,Yim kee,FUDGEE BARR DARK CHOCO 10/10/38G,10,712.1,"  21,363.00 ",  98.63 ,71.21,10.09,7.06,1,10.09,"  3,025.92 ",17,0.69,,"  5,100.00 ",,  0.022 ,  0.66 ,  5.00 ,  150.00 ,,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,
5,47.00,CASE,FUD50,4800092551451,Yim kee,FUDGEE BARR MACAPUNO 10/10/39G,10,712.1,"  33,468.70 ",  98.63 ,71.21,10.09,7.06,1,10.09,"  4,740.61 ",17,0.69,,"  7,990.00 ",,  0.022 ,  1.03 ,  4.00 ,  188.00 ,,5.00,2.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,5.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,
6,26.00,CASE,GRA76,4800016138515,Yim kee,GRANNY GOOSE TORTILLOS BARBECUE 50/100G,50,"1,209.65","  31,450.90 ",  167.54 ,24.19,3.43,7.06,1,3.43,"  4,454.80 ",6,0.75,,"  7,800.00 ",,  0.078 ,  2.03 ,  6.20 ,  161.20 ,,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.50,1.00,1.00,1.00,1.00,1.00,0.50,0.50,,1.00,1.00,0.50,1.00,0.50,0.50,,0.50,0.50,
7,27.00,CASE,LAL20,4800449556856,Yim kee,LALA TEMPURA SNACK 24/100G,24,682.35,"  18,423.45 ",  94.51 ,28.43,4.03,7.06,1,4.03,"  2,609.55 ",7,0.74,,"  4,536.00 ",,  0.068 ,  1.84 ,  2.80 ,  75.60 ,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,0.50,1.00,1.00,1.00,,0.50,1.00,
8,27.00,CASE,OIS178,4800194177146,Yim kee,OISHI FISH CRACKERS 30/90G,30,667.35,"  18,018.45 ",  92.43 ,22.25,3.15,7.06,1,3.15,"  2,552.19 ",6,0.90,,"  4,860.00 ",,  0.096 ,  2.59 ,  4.40 ,  118.80 ,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,1.00,1.00,1.00,,0.50,0.50,
9,41.00,CASE,OIS43,4800194180184,Yim kee,OISHI FISHDA FISH KROPECK 15/80G,15,306.15,"  12,552.15 ",  42.40 ,20.41,2.89,7.06,1,2.89,"  1,777.92 ",6,1.08,,"  3,690.00 ",,  0.052 ,  2.13 ,  1.20 ,  49.20 ,,3.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,3.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,1.00,1.00,0.50,,1.00,0.50,
